freq_ghz,amp,power_dbm,local_time
3.3,0.001,-50.38,2026-03-04 18:35:58.538
3.3,0.0011513953993264,-50.41,2026-03-04 18:35:59.078
3.3,0.0013257113655901,-50.34,2026-03-04 18:35:59.616
3.3,0.0015264179671752,-50.33,2026-03-04 18:36:00.155
3.3,0.0017575106248547,-50.1,2026-03-04 18:36:00.693
3.3,0.0020235896477251,-49.99,2026-03-04 18:36:01.236
3.3,0.0023299518105153,-49.59,2026-03-04 18:36:01.776
3.3,0.0026826957952797,-49.42,2026-03-04 18:36:02.325
3.3,0.0030888435964774,-49.08,2026-03-04 18:36:02.864
3.3,0.0035564803062231,-48.71,2026-03-04 18:36:03.405
3.3,0.0040949150623804,-48.18,2026-03-04 18:36:03.944
3.3,0.0047148663634573,-47.54,2026-03-04 18:36:04.482
3.3,0.0054286754393238,-46.86,2026-03-04 18:36:05.020
3.3,0.0062505519252739,-46.12,2026-03-04 18:36:05.558
3.3,0.0071968567300115,-45.32,2026-03-04 18:36:06.097
3.3,0.0082864277285468,-44.27,2026-03-04 18:36:06.637
3.3,0.0095409547634999,-43.26,2026-03-04 18:36:07.175
3.3,0.0109854114198755,-42.2,2026-03-04 18:36:07.720
3.3,0.0126485521685529,-41.1,2026-03-04 18:36:08.259
3.3,0.0145634847750124,-40.0,2026-03-04 18:36:08.797
3.3,0.01676832936811,-38.83,2026-03-04 18:36:09.334
3.3,0.0193069772888324,-37.69,2026-03-04 18:36:09.873
3.3,0.0222299648252619,-36.47,2026-03-04 18:36:10.421
3.3,0.0255954792269953,-35.27,2026-03-04 18:36:10.969
3.3,0.029470517025518,-34.12,2026-03-04 18:36:11.511
3.3,0.0339322177189532,-32.93,2026-03-04 18:36:12.056
3.3,0.0390693993705461,-31.75,2026-03-04 18:36:12.602
3.3,0.0449843266896944,-30.5,2026-03-04 18:36:13.147
3.3,0.0517947467923121,-29.29,2026-03-04 18:36:13.688
3.3,0.0596362331659464,-28.06,2026-03-04 18:36:14.238
3.3,0.06866488450043,-26.87,2026-03-04 18:36:14.776
3.3,0.0790604321090769,-25.64,2026-03-04 18:36:15.315
3.3,0.0910298177991521,-24.41,2026-03-04 18:36:15.853
3.3,0.1048113134154685,-23.2,2026-03-04 18:36:16.392
3.3,0.1206792640639329,-21.96,2026-03-04 18:36:16.931
3.3,0.1389495494373137,-20.74,2026-03-04 18:36:17.469
3.3,0.1599858719606057,-19.52,2026-03-04 18:36:18.007
3.3,0.1842069969326716,-18.29,2026-03-04 18:36:18.545
3.3,0.212095088792019,-17.07,2026-03-04 18:36:19.085
3.3,0.244205309454865,-15.85,2026-03-04 18:36:19.626
3.3,0.281176869797423,-14.62,2026-03-04 18:36:20.165
3.3,0.3237457542817643,-13.4,2026-03-04 18:36:20.703
3.3,0.3727593720314938,-12.17,2026-03-04 18:36:21.243
3.3,0.4291934260128778,-10.95,2026-03-04 18:36:21.782
3.3,0.4941713361323833,-9.72,2026-03-04 18:36:22.321
3.3,0.5689866029018293,-8.5,2026-03-04 18:36:22.861
3.3,0.655128556859551,-7.27,2026-03-04 18:36:23.400
3.3,0.7543120063354615,-6.04,2026-03-04 18:36:23.938
3.3,0.868511373751352,-4.81,2026-03-04 18:36:24.478
3.3,1.0,-3.59,2026-03-04 18:36:25.017
3.55,0.001,-50.52,2026-03-04 18:36:25.558
3.55,0.0011513953993264,-50.31,2026-03-04 18:36:26.099
3.55,0.0013257113655901,-50.4,2026-03-04 18:36:26.649
3.55,0.0015264179671752,-50.19,2026-03-04 18:36:27.191
3.55,0.0017575106248547,-50.1,2026-03-04 18:36:27.740
3.55,0.0020235896477251,-50.13,2026-03-04 18:36:28.292
3.55,0.0023299518105153,-49.9,2026-03-04 18:36:28.844
3.55,0.0026826957952797,-49.56,2026-03-04 18:36:29.396
3.55,0.0030888435964774,-49.19,2026-03-04 18:36:29.938
3.55,0.0035564803062231,-48.83,2026-03-04 18:36:30.488
3.55,0.0040949150623804,-48.32,2026-03-04 18:36:31.028
3.55,0.0047148663634573,-47.69,2026-03-04 18:36:31.567
3.55,0.0054286754393238,-47.11,2026-03-04 18:36:32.106
3.55,0.0062505519252739,-46.37,2026-03-04 18:36:32.646
3.55,0.0071968567300115,-45.5,2026-03-04 18:36:33.183
3.55,0.0082864277285468,-44.53,2026-03-04 18:36:33.723
3.55,0.0095409547634999,-43.48,2026-03-04 18:36:34.259
3.55,0.0109854114198755,-42.47,2026-03-04 18:36:34.797
3.55,0.0126485521685529,-41.43,2026-03-04 18:36:35.336
3.55,0.0145634847750124,-40.32,2026-03-04 18:36:35.873
3.55,0.01676832936811,-39.12,2026-03-04 18:36:36.411
3.55,0.0193069772888324,-38.03,2026-03-04 18:36:36.950
3.55,0.0222299648252619,-36.85,2026-03-04 18:36:37.489
3.55,0.0255954792269953,-35.62,2026-03-04 18:36:38.026
3.55,0.029470517025518,-34.46,2026-03-04 18:36:38.564
3.55,0.0339322177189532,-33.27,2026-03-04 18:36:39.111
3.55,0.0390693993705461,-32.11,2026-03-04 18:36:39.650
3.55,0.0449843266896944,-30.87,2026-03-04 18:36:40.188
3.55,0.0517947467923121,-29.66,2026-03-04 18:36:40.734
3.55,0.0596362331659464,-28.44,2026-03-04 18:36:41.273
