freq_ghz,amp,power_dbm,local_time
6.2,0.001,-48.13,2026-03-05 16:00:07.167
6.2,0.0011513953993264,-48.01,2026-03-05 16:00:07.707
6.2,0.0013257113655901,-47.93,2026-03-05 16:00:08.246
6.2,0.0015264179671752,-47.93,2026-03-05 16:00:08.781
6.2,0.0017575106248547,-48.13,2026-03-05 16:00:09.319
6.2,0.0020235896477251,-47.91,2026-03-05 16:00:09.857
6.2,0.0023299518105153,-47.9,2026-03-05 16:00:10.395
6.2,0.0026826957952797,-47.7,2026-03-05 16:00:10.931
6.2,0.0030888435964774,-47.72,2026-03-05 16:00:11.470
6.2,0.0035564803062231,-47.65,2026-03-05 16:00:12.010
6.2,0.0040949150623804,-47.57,2026-03-05 16:00:12.549
6.2,0.0047148663634573,-47.34,2026-03-05 16:00:13.135
6.2,0.0054286754393238,-47.09,2026-03-05 16:00:13.723
6.2,0.0062505519252739,-46.84,2026-03-05 16:00:14.263
6.2,0.0071968567300115,-46.58,2026-03-05 16:00:14.800
6.2,0.0082864277285468,-46.22,2026-03-05 16:00:15.347
6.2,0.0095409547634999,-45.84,2026-03-05 16:00:15.893
6.2,0.0109854114198755,-45.2,2026-03-05 16:00:16.440
6.2,0.0126485521685529,-44.62,2026-03-05 16:00:16.986
6.2,0.0145634847750124,-43.89,2026-03-05 16:00:17.531
6.2,0.01676832936811,-43.04,2026-03-05 16:00:18.076
6.2,0.0193069772888324,-42.24,2026-03-05 16:00:18.618
6.2,0.0222299648252619,-41.26,2026-03-05 16:00:19.163
6.2,0.0255954792269953,-40.27,2026-03-05 16:00:19.707
6.2,0.029470517025518,-39.27,2026-03-05 16:00:20.249
6.2,0.0339322177189532,-38.13,2026-03-05 16:00:20.789
6.2,0.0390693993705461,-37.06,2026-03-05 16:00:21.328
6.2,0.0449843266896944,-35.95,2026-03-05 16:00:21.866
6.2,0.0517947467923121,-34.79,2026-03-05 16:00:22.403
6.2,0.0596362331659464,-33.6,2026-03-05 16:00:22.941
6.2,0.06866488450043,-32.39,2026-03-05 16:00:23.479
6.2,0.0790604321090769,-31.2,2026-03-05 16:00:24.016
6.2,0.0910298177991521,-30.05,2026-03-05 16:00:24.555
6.2,0.1048113134154685,-28.82,2026-03-05 16:00:25.094
6.2,0.1206792640639329,-27.61,2026-03-05 16:00:25.633
6.2,0.1389495494373137,-26.38,2026-03-05 16:00:26.174
6.2,0.1599858719606057,-25.16,2026-03-05 16:00:26.713
6.2,0.1842069969326716,-23.96,2026-03-05 16:00:27.252
6.2,0.212095088792019,-22.73,2026-03-05 16:00:27.789
6.2,0.244205309454865,-21.51,2026-03-05 16:00:28.328
6.2,0.281176869797423,-20.29,2026-03-05 16:00:28.867
6.2,0.3237457542817643,-19.07,2026-03-05 16:00:29.405
6.2,0.3727593720314938,-17.85,2026-03-05 16:00:29.942
6.2,0.4291934260128778,-16.62,2026-03-05 16:00:30.480
6.2,0.4941713361323833,-15.41,2026-03-05 16:00:31.023
6.2,0.5689866029018293,-14.2,2026-03-05 16:00:31.572
6.2,0.655128556859551,-12.98,2026-03-05 16:00:32.111
6.2,0.7543120063354615,-11.76,2026-03-05 16:00:32.652
6.2,0.868511373751352,-10.56,2026-03-05 16:00:33.197
6.2,1.0,-9.36,2026-03-05 16:00:33.740
6.45,0.001,-48.07,2026-03-05 16:00:34.293
6.45,0.0011513953993264,-47.99,2026-03-05 16:00:34.834
6.45,0.0013257113655901,-47.94,2026-03-05 16:00:35.382
6.45,0.0015264179671752,-47.92,2026-03-05 16:00:35.920
6.45,0.0017575106248547,-47.83,2026-03-05 16:00:36.458
6.45,0.0020235896477251,-47.98,2026-03-05 16:00:36.994
6.45,0.0023299518105153,-47.7,2026-03-05 16:00:37.532
6.45,0.0026826957952797,-47.89,2026-03-05 16:00:38.070
6.45,0.0030888435964774,-47.88,2026-03-05 16:00:38.609
6.45,0.0035564803062231,-47.7,2026-03-05 16:00:39.144
6.45,0.0040949150623804,-47.58,2026-03-05 16:00:39.683
6.45,0.0047148663634573,-47.5,2026-03-05 16:00:40.221
6.45,0.0054286754393238,-47.22,2026-03-05 16:00:40.760
6.45,0.0062505519252739,-47.02,2026-03-05 16:00:41.300
6.45,0.0071968567300115,-46.85,2026-03-05 16:00:41.839
6.45,0.0082864277285468,-46.49,2026-03-05 16:00:42.381
6.45,0.0095409547634999,-45.99,2026-03-05 16:00:42.919
6.45,0.0109854114198755,-45.45,2026-03-05 16:00:43.456
6.45,0.0126485521685529,-44.87,2026-03-05 16:00:43.994
6.45,0.0145634847750124,-44.29,2026-03-05 16:00:44.531
6.45,0.01676832936811,-43.5,2026-03-05 16:00:45.068
6.45,0.0193069772888324,-42.61,2026-03-05 16:00:45.605
6.45,0.0222299648252619,-41.78,2026-03-05 16:00:46.143
6.45,0.0255954792269953,-40.77,2026-03-05 16:00:46.679
6.45,0.029470517025518,-39.78,2026-03-05 16:00:47.252
6.45,0.0339322177189532,-38.7,2026-03-05 16:00:47.800
6.45,0.0390693993705461,-37.63,2026-03-05 16:00:48.342
6.45,0.0449843266896944,-36.49,2026-03-05 16:00:48.889
6.45,0.0517947467923121,-35.33,2026-03-05 16:00:49.437
6.45,0.0596362331659464,-34.17,2026-03-05 16:00:49.983
6.45,0.06866488450043,-32.99,2026-03-05 16:00:50.525
6.45,0.0790604321090769,-31.79,2026-03-05 16:00:51.072
6.45,0.0910298177991521,-30.62,2026-03-05 16:00:51.611
6.45,0.1048113134154685,-29.39,2026-03-05 16:00:52.166
6.45,0.1206792640639329,-28.2,2026-03-05 16:00:52.700
6.45,0.1389495494373137,-26.96,2026-03-05 16:00:53.238
6.45,0.1599858719606057,-25.76,2026-03-05 16:00:53.778
6.45,0.1842069969326716,-24.55,2026-03-05 16:00:54.315
6.45,0.212095088792019,-23.32,2026-03-05 16:00:54.855
6.45,0.244205309454865,-22.11,2026-03-05 16:00:55.393
6.45,0.281176869797423,-20.87,2026-03-05 16:00:55.931
6.45,0.3237457542817643,-19.65,2026-03-05 16:00:56.468
6.45,0.3727593720314938,-18.43,2026-03-05 16:00:57.007
6.45,0.4291934260128778,-17.21,2026-03-05 16:00:57.546
6.45,0.4941713361323833,-16.0,2026-03-05 16:00:58.084
6.45,0.5689866029018293,-14.79,2026-03-05 16:00:58.622
6.45,0.655128556859551,-13.57,2026-03-05 16:00:59.159
6.45,0.7543120063354615,-12.36,2026-03-05 16:00:59.696
6.45,0.868511373751352,-11.15,2026-03-05 16:01:00.236
6.45,1.0,-9.94,2026-03-05 16:01:00.775
6.7,0.001,-48.02,2026-03-05 16:01:01.313
6.7,0.0011513953993264,-48.04,2026-03-05 16:01:01.850
6.7,0.0013257113655901,-47.99,2026-03-05 16:01:02.388
6.7,0.0015264179671752,-47.91,2026-03-05 16:01:02.928
6.7,0.0017575106248547,-47.93,2026-03-05 16:01:03.476
6.7,0.0020235896477251,-47.98,2026-03-05 16:01:04.018
6.7,0.0023299518105153,-47.92,2026-03-05 16:01:04.561
6.7,0.0026826957952797,-47.86,2026-03-05 16:01:05.107
6.7,0.0030888435964774,-47.77,2026-03-05 16:01:05.675
6.7,0.0035564803062231,-47.69,2026-03-05 16:01:06.224
6.7,0.0040949150623804,-47.64,2026-03-05 16:01:06.765
6.7,0.0047148663634573,-47.39,2026-03-05 16:01:07.311
6.7,0.0054286754393238,-47.17,2026-03-05 16:01:07.850
6.7,0.0062505519252739,-47.0,2026-03-05 16:01:08.389
6.7,0.0071968567300115,-46.83,2026-03-05 16:01:08.925
6.7,0.0082864277285468,-46.37,2026-03-05 16:01:09.462
6.7,0.0095409547634999,-45.82,2026-03-05 16:01:10.000
